item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm,recommend_reason.type,recommend_reason.name,recommend_reason.details
0,,457746,7720023341046678,469023,澄迈县,https://image1.ljcdn.com/hdic-resblock/c28684f6-df78-43e8-89f6-9ccf47fbf726.jpg,51,75,澄迈,澄迈,23009103,1100001047,老城,7720023341046678,3,建面 51-75㎡,51-75㎡,建面,毛坯,110.047347,19.931489,1/2居,华西·芙蓉海,华西·芙蓉海,,金马大道北段（南二环交汇处）,金马大道北段（南二环交汇处）,0,11500,金马大道北段（南二环交汇处）,hxrhbabdq,[],[],"[{'bedroom_count': '1', 'area_range': '51.7㎡'}, {'bedroom_count': '2', 'area_range': '63.85-75.59㎡'}]","['小户型', '儿童乐园', '近主干道', '临近高速']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '41', 'desc': '儿童乐园', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '46', 'desc': '临近高速', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2017-08-99,0,730000,11500,元/平,均价,12天,2019-10-23 16:53:06,2,,0,0,均价11500元/平,101,"[{'id': 'img_4059844', 'image_id': '4059844', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/c28684f6-df78-43e8-89f6-9ccf47fbf726.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/c28684f6-df78-43e8-89f6-9ccf47fbf726.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/c28684f6-df78-43e8-89f6-9ccf47fbf726.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/c28684f6-df78-43e8-89f6-9ccf47fbf726.jpg!m_fill,w_1440,l_rorate_logo'}]",11500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,60,万/套起,11433,元/平起,2019-10-23 17:29:53,多重配套 立体交通,0,0,[],[],243850095253073929,"{""fb_query_id"":""243850095219519488"",""fb_expo_id"":""243850095253073929"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""457746""}",,/loupan/p_hxrhbabdq/,[],,[],,4,楼盘亮点,多重配套 立体交通
0,,457495,7717811403213255,469023,澄迈县,https://image1.ljcdn.com/hdic-resblock/3deb652b-28e4-4a77-b463-3038d57b77be.jpg,53,89,澄迈,澄迈,23009103,1100001047,老城,7717811403213255,3,建面 53-89㎡,53-89㎡,建面,精装修,110.13725,19.954685,1/2/3居,中华坊,中华坊,,老城青龙大道3号（生态软件园对面）,老城青龙大道3号（生态软件园对面）,0,14500,老城青龙大道3号（生态软件园对面）,zhfbaatz,[],[],"[{'bedroom_count': '1', 'area_range': '53.99-58.27㎡'}, {'bedroom_count': '2', 'area_range': '64.88-69.32㎡'}, {'bedroom_count': '3', 'area_range': '89.23㎡'}]","['小户型', '养老房', '近主干道', '现房']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '31', 'desc': '养老房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-12-19,0,790000,14500,元/平,均价,5天,2019-10-30 11:39:32,2,,0,0,均价14500元/平,,"[{'id': 'img_4059258', 'image_id': '4059258', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/3deb652b-28e4-4a77-b463-3038d57b77be.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/3deb652b-28e4-4a77-b463-3038d57b77be.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/3deb652b-28e4-4a77-b463-3038d57b77be.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/3deb652b-28e4-4a77-b463-3038d57b77be.jpg!m_fill,w_1440,l_rorate_logo'}]",14500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,79,万/套起,14509,元/平起,2019-05-27 17:23:15,中国传统现代院落式社区,0,0,[],[],243850096180629504,"{""fb_query_id"":""243850096147075072"",""fb_expo_id"":""243850096180629504"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""457495""}",,/loupan/p_zhfbaatz/,[],,[],,4,楼盘亮点,中国传统现代院落式社区
0,,457498,7715913246559263,469023,澄迈县,https://image1.ljcdn.com/newhouse-user-image/a7122f2565a385856fa0be4509c4cf8b.png,74,130,澄迈,澄迈,23009103,1100001047,老城,7715913246559263,3,建面 74-130㎡,74-130㎡,建面,毛坯,110.134222,19.991917,1/2居,鲁能·海蓝福源,鲁能·海蓝福源,鲁能海蓝福源,盈滨半岛旅游度假区鲁能大道4号,盈滨半岛度假区,0,14000,盈滨半岛旅游度假区鲁能大道4号,lnlfybaauc,[],[],"[{'bedroom_count': '1', 'area_range': '74-95㎡'}, {'bedroom_count': '2', 'area_range': '130㎡'}]","['品牌房企', '小户型', '近主干道', '低密居所']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-01-27,0,1040000,14000,元/平,均价,5天,2019-10-30 10:46:56,2,,0,0,均价14000元/平,15,"[{'id': 'img_4950935', 'image_id': '4950935', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/a7122f2565a385856fa0be4509c4cf8b.png', 'title': '', 'desc': '效果图', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/a7122f2565a385856fa0be4509c4cf8b.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/a7122f2565a385856fa0be4509c4cf8b.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/a7122f2565a385856fa0be4509c4cf8b.png!m_fill,w_1440,l_rorate_logo'}]",14000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,104,万/套起,14000,元/平起,2019-01-29 15:43:13,长寿之乡养生度假居所,0,0,[],[],243850096180629505,"{""fb_query_id"":""243850096147075072"",""fb_expo_id"":""243850096180629505"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""457498""}",,/loupan/p_lnlfybaauc/,[],,[],,4,楼盘亮点,长寿之乡养生度假居所
0,,457527,7720020548991529,469023,澄迈县,https://image1.ljcdn.com/hdic-resblock/2820b4b4-d5a7-47b8-988f-71d57243ed27.jpg,42,101,澄迈,澄迈,23009103,1100001047,老城,7720020548991529,3,建面 42-101㎡,42-101㎡,建面,毛坯,110.148486,19.977328,1/2/3居,南海阳光,南海阳光,新美华天,盈滨路与南海大道交汇处,南海大道与盈滨路交汇处,0,11750,盈滨路与南海大道交汇处,nhygbaavf,[],[],"[{'bedroom_count': '1', 'area_range': '42.15-61.99㎡'}, {'bedroom_count': '2', 'area_range': '68-76.55㎡'}, {'bedroom_count': '3', 'area_range': '101.11㎡'}]","['小户型', '现房', '绿化率高']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-01-18,0,500000,11750,元/平,均价,27天,2019-10-08 17:07:31,2,,0,0,均价11750元/平,101,"[{'id': 'img_4059377', 'image_id': '4059377', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/2820b4b4-d5a7-47b8-988f-71d57243ed27.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/2820b4b4-d5a7-47b8-988f-71d57243ed27.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/2820b4b4-d5a7-47b8-988f-71d57243ed27.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/2820b4b4-d5a7-47b8-988f-71d57243ed27.jpg!m_fill,w_1440,l_rorate_logo'}]",11750,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,50,万/套起,11757,元/平起,2018-09-26 14:47:48,澄迈老城宜居生态社区,0,0,[],[],243850096180629506,"{""fb_query_id"":""243850096147075072"",""fb_expo_id"":""243850096180629506"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""457527""}",,/loupan/p_nhygbaavf/,[],,[],,4,楼盘亮点,澄迈老城宜居生态社区
0,,457541,7715913246559263,469023,澄迈县,https://image1.ljcdn.com/newhouse-user-image/a7122f2565a385856fa0be4509c4cf8b.png,93,120,澄迈,澄迈,23009103,1100001047,老城,7715913246559263,3,建面 93-120㎡,93-120㎡,建面,精装修,110.134222,19.991917,2居,鲁能·海蓝福源,鲁能·海蓝福源,,盈滨半岛旅游度假区鲁能大道4号,盈滨半岛旅游度假区鲁能大道4号,0,33000,盈滨半岛旅游度假区鲁能大道4号,lnlfybaavt,[],[],"[{'bedroom_count': '2', 'area_range': '93.8-120.56㎡'}]","['贴心物业', '养老房', '开发区', '现房']","[{'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '31', 'desc': '养老房', 'color': ''}, {'id': '44', 'desc': '开发区', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2018-12-19,0,3100000,310,万/套,总价,5天,2019-10-30 10:46:56,2,,0,0,总价310万/套,,"[{'id': 'img_4058916', 'image_id': '4058916', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/1e87c7e3-61de-4bba-9629-21bca26117eb.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/1e87c7e3-61de-4bba-9629-21bca26117eb.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/1e87c7e3-61de-4bba-9629-21bca26117eb.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/1e87c7e3-61de-4bba-9629-21bca26117eb.jpg!m_fill,w_1440,l_rorate_logo'}]",33000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,310,万/套起,33012,元/平起,2019-04-12 14:24:06,临海独院 奢境人生,0,0,[],[],243850096180629507,"{""fb_query_id"":""243850096147075072"",""fb_expo_id"":""243850096180629507"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""457541""}",,/loupan/p_lnlfybaavt/,[],,[],,4,楼盘亮点,临海独院 奢境人生
0,,457571,7720021458261330,469023,澄迈县,https://image1.ljcdn.com/hdic-resblock/4700063a-2cca-402b-91be-a2cbc87e6223.jpg,72,106,澄迈,澄迈,23009103,1100001047,老城,7720021458261330,3,建面 72-106㎡,72-106㎡,建面,精装修,110.142324,19.9582,2/3居,福隆·丽水湾,福隆·丽水湾,,南海大道西延长线,南海大道西延长线,0,16000,南海大道西延长线,flswbaawx,[],[],"[{'bedroom_count': '3', 'area_range': '100.87-106㎡'}]","['现房', '低密居所']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2017-11-15,0,1610000,16000,元/平,均价,36天,2019-09-29 15:36:57,2,,0,0,均价16000元/平,,"[{'id': 'img_4059520', 'image_id': '4059520', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/4700063a-2cca-402b-91be-a2cbc87e6223.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/4700063a-2cca-402b-91be-a2cbc87e6223.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/4700063a-2cca-402b-91be-a2cbc87e6223.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/4700063a-2cca-402b-91be-a2cbc87e6223.jpg!m_fill,w_1440,l_rorate_logo'}]",16000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,161,万/套起,15961,元/平起,2018-08-16 10:16:47,养生楼盘 蝶式建筑大型社区,0,0,[],[],243850096180629508,"{""fb_query_id"":""243850096147075072"",""fb_expo_id"":""243850096180629508"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""457571""}",,/loupan/p_flswbaawx/,[],,[],,4,楼盘亮点,养生楼盘 蝶式建筑大型社区
0,,457573,7720021506494861,469023,澄迈县,https://image1.ljcdn.com/hdic-resblock/23c05e36-921b-4631-a9c3-a2803ba87834.jpg,45,162,澄迈,澄迈,23009103,1100001047,老城,7720021506494861,3,建面 45-162㎡,45-162㎡,建面,精装修,110.081548,19.964995,1/2/3/4居,景园悦海湾,景园悦海湾,海南·甘肃家园,北二环路与富音北路交汇处,老城开发区北二环路与富音北路交汇处,0,14000,北二环路与富音北路交汇处,jyyhwbaawz,[],[],"[{'bedroom_count': '1', 'area_range': '45-61.86㎡'}, {'bedroom_count': '4', 'area_range': '162.48㎡'}]","['小户型', '现房', '绿化率高']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-02-99,0,630000,14000,元/平,均价,7天,2019-10-28 15:53:57,2,,0,0,均价14000元/平,101,"[{'id': 'img_4059667', 'image_id': '4059667', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/23c05e36-921b-4631-a9c3-a2803ba87834.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/23c05e36-921b-4631-a9c3-a2803ba87834.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/23c05e36-921b-4631-a9c3-a2803ba87834.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/23c05e36-921b-4631-a9c3-a2803ba87834.jpg!m_fill,w_1440,l_rorate_logo'}]",14000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,63,万/套起,14000,元/平起,2018-09-18 15:28:25,位于盈滨半岛4A级旅游度假区,0,0,[],[],243850096180629509,"{""fb_query_id"":""243850096147075072"",""fb_expo_id"":""243850096180629509"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""457573""}",,/loupan/p_jyyhwbaawz/,[],,[],,4,楼盘亮点,位于盈滨半岛4A级旅游度假区
0,,457577,7720021526414405,469023,澄迈县,https://image1.ljcdn.com/hdic-resblock/7bb5c3f2-56df-4e43-b446-d456cc10ba69.jpg,59,98,澄迈,澄迈,23009103,1100001047,老城,7720021526414405,3,建面 59-98㎡,59-98㎡,建面,精装修,110.14814,19.96243,1/3居,碧海·金珠花园,碧海·金珠花园,,老城经济开发区青龙路,老城经济开发区青龙路,0,15000,老城经济开发区青龙路,bhzhybaaxd,[],[],"[{'bedroom_count': '1', 'area_range': '59.86-62.29㎡'}, {'bedroom_count': '3', 'area_range': '91.26-98.5㎡'}]","['小户型', '贴心物业', '开发区', '近主干道']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '29', 'desc': '贴心物业', 'color': ''}, {'id': '44', 'desc': '开发区', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-07-30,0,900000,15000,元/平,均价,5天,2019-10-30 11:39:32,2,,0,0,均价15000元/平,,"[{'id': 'img_4059687', 'image_id': '4059687', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/7bb5c3f2-56df-4e43-b446-d456cc10ba69.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/7bb5c3f2-56df-4e43-b446-d456cc10ba69.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/7bb5c3f2-56df-4e43-b446-d456cc10ba69.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/7bb5c3f2-56df-4e43-b446-d456cc10ba69.jpg!m_fill,w_1440,l_rorate_logo'}]",15000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,90,万/套起,15012,元/平起,2019-04-04 10:05:27,澄迈养生美宅,0,0,[],[],243850096180629510,"{""fb_query_id"":""243850096147075072"",""fb_expo_id"":""243850096180629510"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""457577""}",,/loupan/p_bhzhybaaxd/,[],,[],,4,楼盘亮点,澄迈养生美宅
0,,457583,7720021658554972,469023,澄迈县,https://image1.ljcdn.com/hdic-resblock/6d66070a-9a19-45bb-86b9-fbe9de8ebd5b.jpg,47,47,澄迈,澄迈,23009103,1100001047,老城,7720021658554972,3,建面 47㎡,47㎡,建面,精装修,110.125977,19.958131,1居,盈滨绿生花园,盈滨绿生花园,,老城经济开发区工业大道1公里处（东临老城管委）,老城镇208省道盈滨绿生花园,9000,12000,老城经济开发区工业大道1公里处（东临老城管委）,yblshybaaxj,[],[],"[{'bedroom_count': '1', 'area_range': '47㎡'}]","['小户型', '现房', '绿化率高', '购物方便']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2017-03-99,0,570000,12000,元/平,均价,27天,2019-10-08 17:07:31,2,,0,0,均价12000元/平,101,"[{'id': 'img_4059739', 'image_id': '4059739', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/e2fc0790-800b-4ca2-84c6-7fa62ed5f51c.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/e2fc0790-800b-4ca2-84c6-7fa62ed5f51c.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/e2fc0790-800b-4ca2-84c6-7fa62ed5f51c.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/e2fc0790-800b-4ca2-84c6-7fa62ed5f51c.jpg!m_fill,w_1440,l_rorate_logo'}]",12000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,57,万/套起,12127,元/平起,2018-09-27 10:30:51,板式结构 休闲度假生活区,0,0,[],[],243850096180629511,"{""fb_query_id"":""243850096147075072"",""fb_expo_id"":""243850096180629511"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""457583""}",,/loupan/p_yblshybaaxj/,[],,[],,4,楼盘亮点,板式结构 休闲度假生活区
0,,457584,7720021656464885,469023,澄迈县,https://image1.ljcdn.com/hdic-resblock/533ba6fb-63cf-48eb-94c9-0ac5926b3b07.jpg,43,92,澄迈,澄迈,23009103,1100001047,老城,7720021656464885,3,建面 43-92㎡,43-92㎡,建面,精装修,110.05086,19.888137,1/2居,荣德庄园,荣德庄园,全球CEO俱乐部·海南荣德庄园,金马大道东侧,金马大道东侧,7200,10000,金马大道东侧,rdzybaaxk,[],[],"[{'bedroom_count': '1', 'area_range': '43㎡'}, {'bedroom_count': '2', 'area_range': '92㎡'}]","['小户型', '养老房', '近主干道', '现房']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '31', 'desc': '养老房', 'color': ''}, {'id': '43', 'desc': '近主干道', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2017-05-13,0,430000,10000,元/平,均价,26天,2019-10-09 15:49:44,2,,0,0,均价10000元/平,,"[{'id': 'img_4059714', 'image_id': '4059714', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/884bfda5-941e-40b3-ae72-be2d0b642bae.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/884bfda5-941e-40b3-ae72-be2d0b642bae.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/884bfda5-941e-40b3-ae72-be2d0b642bae.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/884bfda5-941e-40b3-ae72-be2d0b642bae.jpg!m_fill,w_1440,l_rorate_logo'}]",10000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,43,万/套起,10000,元/平起,2018-08-13 18:08:06,澄迈度假养老栖息盘,0,0,[],[],243850096180629512,"{""fb_query_id"":""243850096147075072"",""fb_expo_id"":""243850096180629512"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""457584""}",,/loupan/p_rdzybaaxk/,[],,[],,4,楼盘亮点,澄迈度假养老栖息盘
